grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
1;NA;no;NA;NA;NA;NA;NA;NA;E;B;E;B;E;C;B;D;C;C;D;C;C;C;E;D;C;A;C;C;E;C;B;C;B;C;C;D;B;E;A;NA;NA;NA;C;NA;no es seguro;arte;NA;C;NA;1;NA;si;porque las mujeres tiene mas capacidad;C;B;C;B;C
1;rural;no;NA;NA;7;5;0;0;C;B;B;D;B;B;D;B;B;E;E;D;D;C;C;C;C;C;C;E;D;D;C;C;D;D;B;B;D;C;A;NA;A;NA;C;NA;si;NA;NA;A;NA;3;NA;si;NA;E;D;D;C;C
1;urbano;no;NA;NA;3;4;9;0;C;D;C;B;E;E;C;E;C;E;E;D;E;E;C;E;B;E;E;E;C;E;E;C;E;D;E;C;E;C;A;B;A;A;A;C;si;ciencias y matematica;NA;B;NA;3;NA;NA;NA;E;D;NA;D;E
1;urbano;si;padre;ingeniero;5;6;5;6;A;E;E;E;D;D;D;E;E;E;D;D;D;D;D;D;D;C;D;D;D;D;C;D;D;D;D;E;D;D;A;A;B;A;B;A;si;matematica español y ingles;NA;B;NA;4;NA;si;porque las mujeres pueden estudiar y tambien los hombres;E;D;D;D;D
1;suburbano;si;madre;ciencia;7;10;4;0;B;NA;D;B;B;D;B;D;D;D;D;D;D;D;B;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;NA;B;B;NA;NA;NA;si;matematica;NA;B;NA;5;NA;NA;NA;NA;B;A;D;D
1;NA;no;NA;NA;NA;NA;NA;NA;E;D;E;C;E;E;E;D;D;E;B;C;D;D;D;E;E;D;E;D;D;D;E;D;E;D;E;D;D;D;A;B;B;A;C;A;no es seguro;NA;NA;NA;NA;NA;NA;NA;porque tenemos los mismos derechos;C;A;D;C;D
1;NA;no;NA;NA;NA;NA;NA;NA;E;C;E;B;B;C;B;C;C;C;D;C;D;C;C;NA;E;C;E;C;D;A;D;C;D;D;C;C;C;C;A;NA;A;NA;A;NA;si;tecnologia;NA;B;NA;5;NA;si ;porque todos podemos;B;C;C;C;D
1;suburbano;si;madre;perito contador;4;7;9;NA;A;E;D;D;A;E;D;E;E;D;E;E;D;E;E;E;A;D;E;E;D;D;B;C;E;E;E;B;C;B;B;A;A;B;A;C;si;matematicas y ciencias;NA;B;NA;4;NA;si ;porque las mujeres tienen mas oportunidad;E;E;D;D;E
1;rural;si;madre;ingeniera;10;10;10;NA;B;C;D;C;B;C;E;D;D;NA;D;NA;D;B;NA;D;A;NA;D;D;NA;D;A;D;E;NA;C;D;B;E;A;A;A;B;A;A;si;NA;NA;B;NA;5;NA;NA;NA;D;E;E;D;E
1;rural;si;madre;madre administrador de empresas padre electromecanico;7;8;8;NA;A;E;A;E;A;E;D;E;E;E;D;E;E;E;E;E;D;A;C;A;E;A;D;E;B;E;E;D;A;A;A;A;B;A;B;B;si;matematica;NA;B;NA;4;NA;si;porque todos tenemos oportunidades;E;E;C;E;E
1;rural;no;NA;maestro de educacion fisica;2;2;6;1;B;B;D;C;C;D;C;D;D;E;B;B;C;D;C;B;A;B;D;D;D;D;D;D;C;D;D;C;D;A;A;A;B;A;B;C;si;educacion fisica;NA;B;NA;4;no he tenido como;si;porque todos tenemos derecho a todo;D;D;D;D;D
1;suburbano;si;madre;licenciada;8;10;10;6;C;A;E;C;E;A;E;E;E;E;E;E;E;E;E;D;D;D;D;D;E;E;B;D;E;E;E;E;E;E;B;A;A;A;A;A;si;licenciatura matematica;NA;B;NA;5;porque creo que me faltan un poco mas de clases;si;porque las mujeres pueden mas;E;E;C;C;C
1;urbano;si;padre;madre maestra padre ingeniero;1;2;1;0;B;B;E;A;E;E;B;D;B;E;E;E;E;D;C;E;D;C;D;E;E;E;E;D;C;NA;C;C;D;C;A;A;A;A;A;A;si;expresion artistica;NA;B;NA;3;porque donde yo estudiaba no llegaban grupos asi;si;porque todos somos iguales;D;C;C;C;C
