grade;understanding_stem;enjoy_stem;interest_stem_classes;applying_stem_outsideschool;interest_stem_career
4 mag;3;3;3;7;2
4 mag;3;3;3;7;2
4 mag;3;NA;3;7;3
4 mag;3;3;3;7;3
4 mag;3;3;3;7;2
4 mag;3;4;4;8;3
4 mag;3;3;4;8;3
4 mag;3;4;3;4;4
4 bach;4;4;4;7;5
4 bach;4;4;5;9;5
4 bach;4;4;4;4;5
4 bach;3;3;5;7;4
4 bach;3;3;4;7;4
4 bach;3;3;3;6;4
4 bach;3;3;3;6;4
4 bach;4;5;5;5;5
4 bach;4;5;5;9;5
4 bach;4;4;5;8;5
4 bach;3;3;3;4;3
4 bach;4;5;5;9;5
4 bach;NA;5;5;10;5
4 bach;3;3;4;3;5
4 bach;4;4;3;4;5
4 bach;3;4;4;6;4
4 bach;4;5;4;8;5
5 bach;4;4;5;10;5
5 bach;3;4;4;5;4
5 bach;5;3;3;4;3
5 bach;4;3;2;7;3
5 bach;4;5;3;8;2
5 bach;4;4;5;2;5
5 bach;4;5;5;7;5
5 bach;3;4;5;7;3
5 bach;3;3;3;7;3
5 bach;4;NA;5;2;4
5 bach;4;5;5;8;4
5 bach;4;4;4;10;5
5 bach;3;4;3;7;3
5 bach;4;5;5;9;1
5 mag;2;3;4;8;3
5 mag;3;4;4;5;5
5 mag;3;3;4;5;4
5 mag;3;3;4;2;4
5 mag;3;3;4;5;4
5 mag;3;5;5;8;5
5 mag;NA;4;5;6;5
5 mag;3;3;4;4;3
5 mag;3;4;4;7;3
5 mag;3;4;5;7;5
5 mag;3;4;3;3;4
5 mag;4;5;5;10;5
5 mag;1;3;5;1;5
5 mag;4;4;5;3;4
5 mag;3;3;4;7;3
5 mag;4;3;3;3;2
5 mag;3;3;3;3;3
5 mag;4;3;4;1;3
5 mag;3;4;3;1;3
5 mag;4;4;4;2;4
6 mag;3;3;5;10;4
6 mag;4;4;5;9;5
6 mag;4;5;4;6;5
6 mag;4;4;5;3;5
6 mag;3;3;3;7;4
6 mag;2;3;3;6;2
6 mag;3;3;3;NA;3
6 mag;3;5;5;5;5
