grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
1;urbano;no;NA;NA;8;8;6;3;C;B;C;C;C;B;C;A;B;A;C;C;C;C;C;D;C;B;A;D;D;C;E;D;E;E;C;D;C;E;B;C;B;no;no;si;si;Ingenieria;NA;Asistir a la universidad;NA;3;NA;si;Son independientes;C;D;C;C;C
1;urbano;si;Padre;Constructor;4;3;6;5;E;A;E;A;C;A;A;A;C;C;D;B;E;A;C;B;C;B;D;A;B;C;D;E;A;B;C;D;E;A;B;C;B;no estoy seguro/a;no;si;si;Perito en construccion;NA;Asistir a la universidad;NA;3;no lo puedo aprender.;si;Para ganarse la vida;D;C;A;B;C
1;urbano;no;Padre;Constructor;5;4;5;6;E;A;E;A;A;B;C;E;A;C;D;A;C;A;A;E;A;C;A;E;E;E;E;E;E;E;E;E;E;E;B;B;B;no;no;si;si;mecanico en electricidad;NA;Ir a la universidad;NA;3;Porque me parese interesante.;si;Tienen los mismos derechos;E;E;A;E;C
1;rural;si;NA;NA;NA;NA;1;NA;A;B;E;D;E;E;B;D;B;C;B;D;E;D;E;E;C;E;B;E;D;E;B;E;C;A;C;A;E;C;A;A;A;si;no estoy seguro/a;si;si;Licensiado en educacion;si planeo;graduarme / si;NA;1;NA;si;porque todos somos iguales;E;D;C;E;D
2;semiurbano;si;Padre;NA;NA;NA;4;NA;C;B;NA;E;E;E;E;E;E;E;E;E;E;E;E;D;D;NA;NA;NA;C;A;C;A;C;B;C;D;B;E;NA;C;A;si;no;no estoy seguro/a;NA;si;si;Volverme maestro y asistir a la uni;NA;2;NA;NA;si;NA;NA;D;A;E
2;rural;NA;NA;NA;NA;NA;NA;4;A;B;C;D;A;B;C;D;E;A;B;NA;E;E;A;A;B;C;NA;A;B;C;E;NA;A;B;C;D;NA;E;A;A;A;no;si;si;NA;NA;NA;NA;NA;4;NA;NA;NA;A;B;A;B;C
NA;rural;si;Ambos;Maestros;3;NA;3;NA;NA;NA;D;D;B;C;C;C;B;D;C;E;D;E;B;A;C;B;D;A;C;D;E;B;C;D;C;C;D;D;NA;B;C;si;no;no estoy seguro/a;si;doctorado o pediatra o ;NA;Ser una una doctora;NA;3;NA;no;porque nose;A;C;A;B;C
2;rural;NA;NA;NA;NA;NA;NA;NA;E;A;E;A;C;C;A;C;E;A;E;C;E;C;C;E;C;E;E;C;D;C;D;NA;NA;NA;NA;NA;NA;NA;NA;C;A;no;si;no estoy seguro/a;si;Doctorado;NA;Estudia enfermeria;NA;3;NA;si;Por que todos pueden ser capaces;E;D;C;D;A
1;urbano;no;NA;Mi papa trabaja de publicista;5;7;9;NA;B;D;D;D;D;D;D;D;E;D;E;D;E;E;E;E;A;D;E;E;E;E;E;D;E;E;E;D;E;D;A;A;A;si;si;no estoy seguro/a;si;Licenciado en derecho y tambien maestro;NA;Volverme maestro;NA;4;NA;si;Lo que el hombre puede hacer las mujeres tambien pueden;D;E;A;C;E
1;urbano;no;NA;NA;5;5;5;NA;D;B;D;B;B;B;B;D;D;D;D;D;B;D;C;C;A;B;D;E;E;E;E;A;E;B;E;A;A;E;B;B;B;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;NA;NA;NA;NA;3;NA;si;todos tenes derecho;E;E;E;B;B
