grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
1;NA;no;NA;NA;5;7;5;1;B;D;NA;B;B;B;NA;D;D;D;D;D;D;D;NA;D;B;D;D;D;D;D;D;D;D;NA;B;D;D;D;B;B;B;A;A;A;Si;ingenieria;NA;B;NA;3;tal vez porque no tenemos tiempo;si;una mujer quiere estudiar ingeneria puede a ser lo muy bien;B;B;D;B;D
1;urbano;si;padre;ingenieria;5;5;4;1;B;D;D;D;B;D;D;D;D;D;D;D;C;D;D;C;D;C;D;D;C;D;C;D;D;NA;C;D;D;D;A;A;B;A;B;A;si;ingenieria;NA;B;NA;4;NA;NA;puede estudiar las mismas carrera;D;D;C;D;D
1;urbano;si;NA;ingenieria;7;3;2;1;D;B;C;B;B;B;B;E;B;C;C;C;B;D;C;C;B;C;D;D;D;D;D;D;D;D;C;D;C;D;A;A;B;B;B;A;si;ingenieria;NA;B;NA;3;porque enfoco mas en mi persona;si;porque todos tenemos los mismos derechos;C;D;C;C;D
1;rural;si;madre;bachiyen en conputacion;5;7;4;NA;A;D;C;D;A;E;D;E;E;E;E;D;E;E;E;E;C;E;E;E;D;E;E;D;E;E;E;E;E;E;A;A;A;A;A;A;si;matematicas y ingenieria;NA;B;NA;4;NA;si;porque tenemos oportunidades;NA;NA;NA;NA;NA
1;rural;no;NA;NA;NA;3;4;NA;D;C;D;C;C;B;D;E;D;D;A;A;A;C;B;B;D;B;A;E;E;E;E;D;E;D;D;D;E;C;A;A;C;A;C;B;si;educacion fisica;NA;B;NA;5;NA;si;porque todos podemos hacer lo mismo;E;D;C;D;D
1;NA;si;madre;licenciada;10;8;10;7;E;E;E;A;D;D;C;A;D;D;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;A;NA;NA;NA;A;NA;si;ciencias;NA;B;NA;5;NA;NA;porque las mujeres pueden mas;E;E;C;E;E
1;suburbano;si;padre;ingeniero;3;5;2;1;A;D;E;A;E;D;E;E;E;D;E;D;D;D;C;D;D;B;C;D;E;E;E;D;D;D;E;D;D;E;A;A;B;NA;A;A;si;matematica;NA;B;NA;3;NA;si;tal como la mujer tenemos los mismos derechos;D;D;B;D;D
1;rural;no;NA;NA;4;3;7;NA;E;C;A;C;E;E;C;E;C;E;C;C;C;E;C;D;C;D;E;E;D;D;E;C;E;D;C;E;E;C;B;B;A;NA;C;A;si;ciencias o ingeneria;NA;B;NA;4;NA;si;porque todos podemos hacer lo que intentemos;E;C;C;D;E
1;NA;no;NA;NA;NA;NA;NA;NA;NA;B;D;A;D;E;E;D;A;D;B;C;D;D;B;B;D;C;A;C;E;D;D;D;C;C;B;D;D;D;B;B;B;NA;NA;NA;no es seguro;NA;no puedo porque no tengo dinero para seguir pero quiero seguir;D;NA;NA;NA;NA;NA;D;B;NA;C;C
2;urbano;no;NA;NA;2;2;2;1;C;D;A;NA;E;E;B;D;E;E;D;D;E;E;E;D;B;E;E;E;E;D;E;D;E;D;D;E;B;E;A;A;NA;A;A;A;si;matematicas y ciencias;NA;B;NA;NA;NA;si;NA;D;E;C;D;E
